,Ten,Hinh,Gia,MoTa,TheLoai,YeuThich
78,Trầm nestor baby,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/2017/nestor-baby/tram-hoa-do-nestor-baby-1-1.jpg,240000,"Đây là một loại trầm lai từ 2 cây trầm siêu đẹp của đài loan, cả 2 đều có chung đặc điểm là bông đỏ có màu rất đẹp",20/11,
79,Thiên nga đốm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/thien-nga/hoa-thien-nga-dom-2-1.jpg,170000,"Bán lan thiên nga đốm, đây đẹp đang đủ tuổi ra hoa. Thiên nga đốm sở hữu vẻ đẹp tinh tế, nhẹ nhàng hơn so với các loại thiên nga khác.",Khai Tr??ng,
80,Hồng ngọc quán quân,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/hong-ngoc-quan-quan/anh-nho-hinh-hoa-hong-ngoc-quan-quan.jpg,360000,"Sau 3 năm đoạt giải giả hạc hồng ngọc mặt hoa đoạt giải quán quân cuộc thi lan thế giới 2015 đã có mặt tại Việt nam, với giá rất hấp dẫn [cây rất đẹp]",Sinh Nh?t,
81,Trầm rồng đỏ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/rong-do/hoa-tram-rong-do-1-1.jpg,130000,"Trầm rồng đỏ , đây là loại trầm nổi tiếng của đài loan, thân dài khoảng 50cm khi ra hoa . Hiện tại mỗi cốc có 1 ngọn già và 1 ngọn non, ngọn non khoảng 10cm, đang lên rất khỏe. Cây nhỏ giá rẻ.",20/11,
82,Thiên cung lữ bố,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/thien-cung-lu-bo-1-1.jpg,180000,"Bán thiên cung lữ bố theo ngọn, có 3 cỡ dài 10-40cm. Ngọn đẹp, khỏe (so với dòng thiên cung nhé) năm nay ""được mùa"" nên giá khá rẻ. Cây đang ghép bảng gô có cả NGỌN GIÀ",S? Ki?n,
83,Trầm 6 cánh lai trầm trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/tram6canhxtrang/6-canh-tram-trang-1-1.jpg,200000,"2 loại trầm độc đáo chắc chắn sẽ cho ra mặt bông lạ và thơm. Cây đang rất mập năm 2 , cho hoa vào năm sau.",Gia ?�Enh,
84,Thiên cung lá biên,https://hoalanhuyanh.com/userfiles/image/gio-lan/thien-cung/hinh-nho-thien-cung-la-bien.jpg,250000,"Chậu thiên cung lá biên giá siêu rẻ, hàng kei. Cây đang phát triển rất mạnh, Chi tiết về chậu lan này các bác xem VIDEO cuối bài viết",?am M�E Huy?n B�E,
85,Vũ nữ phù thủy,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/vu-nu/vu-nu-phu-thuy-2-1.jpg,150000,"Hàng mới tinh tại thị trường việt nam, vũ nữ phù thủy cây bé nhưng mặt hoa lạ. bông hoa trông như chiếc mũ phù thủy vậy",T�Enh Y�Eu,
86,Lan sóc tím,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/giang-huong/soc-tim/soc-tim-hinh-hoa-hinh-nho.jpg,180000,"Giáng hương sóc tím có hoa dài, dễ hoa, cây khỏe, rất dễ chăm sóc (giống đa số các loại giáng hương khác). Cây có hoa khá giống đuôi chồn, hoa màu tím đẹp, đậm hơn cáo và chồn",C�E T�Enh,
87,Hoàng thảo tím huế,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/tim-hue/hoang-thao-tim-hue-3-1.jpg,190000,"Thân mập mạp, hoa tím nhìn hơi giống thập hoa, rất sai hoa. Nở vào mùa xuân",C�E T�Enh,
88,Giá lan thiên nga đỏ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/thien-nga/thien-nga-do-3-1.jpg,250000,"Thiên nga nói chung khá dễ trồng một năm có thể có 3 lần hoa. Hoa thiên nga đỏ thơm dịu, bông đẹp, lâu tàn. Nên lan thiên nga được nhiều người yêu thích",Sinh Nh?t,
89,Trầm trắng 4N lai trầm trắng 2N,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/tram-4n-2n/anh-nho-tram-trang4n-lai-2n.jpg,380000,"Bông to màu trắng, có phom hoa đột biến so với trầm trắng thông thường là kỳ vọng của cặp lai này. Hoa xổ, dành cho các bác sưu tầm mặt hoa mới.",Trang Tr?ng,
90,Thiên cung hồng lưỡi to,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/thien-cung/hac-vy-hong-hoa-1-1.jpg,200000,Trong muôn vàn loại thiên cung thì loại bông đậm như thiên cung lữ bố và thiên cung lưỡi to luôn được ưa thích và bắt mắt nhất,Sinh Nh?t,
91,Vũ nữ kẹo kéo hoa vàng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/vanda-dendro/keo-keo/vu-nu-keo-keo-1-1.jpg,130000,"Cây đã được trồng thuần tại vườn miền bắc, loại này nhìn nhỏ nhỏ nhưng hoa rất thơm ah. Hoa màu vàng ra hoa mùa xuân. Đây là loại lan rất dễ trồng, cây tưới tốt quanh năm.",Trang Tr?ng,
92,Vũ nữ đỏ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/vu-nu/do/anh-nho-hoa-vu-nu-do.jpg,250000,"Loại vũ nữ của Đài Loan hoa rất đẹp, bông to đỏ màu đậm. Đặc biệt là vòi hoa rất dài (khoảng 1 mét), hoa quanh năm, thân to đẹp.",Trang Tr?ng,
93,Trầm rừng myanma,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/tram/tram-rung-myanma-1-1.jpg,70000,"Giò trầm rừng myanma thân mập khỏe mạnh, rất đẹp. Cho hoa vào năm sau (mùa xuân).Cây đã thuần 1 năm, dài khoảng 5-15cm . Bảng nhiều ngọn thì ngắn, ít ngọn dài nhé các bác",Gia ?�Enh,
94,Lan hồ điệp chúc mừng quà tặng,https://hoalanhuyanh.com/userfiles/image/ho-diep/chuc-mung/lan-ho-diep-hoa-chuc-mung-2-1.jpg,100000,"Lan hồ điệp món quà tinh tế, sang trọng và chắc chắn rất ấn tượng. Không chỉ đẹp mà còn có thể chơi được lâu dài, chăm sóc rất đơn giản.",Trang Tr?ng,
95,Lan hỏa hoàng đỏ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/hoa-hoang/lan-hoa-hoang-1-1.jpg,550000,"Trồng chậu gỗ vuông, hàng thuần, nhiều ngọn một chậu. Cây rất khỏe phù hợp với điều kiện khi hậu cả 3 vùng miền",V?n Ph�Eng,
96,Trầm trắng mắt đỏ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/2017/tram-mat-do/tram-5-canh-trang-mat-do-2-1.jpg,350000,"Trầm trắng mắt đỏ mặt hoa cực yêu, được rất nhiều người yêu thích , đánh giá cao trong các triển lãm, hội thi lan. Bảo hành mặt hoa",T�Enh Y�Eu,
97,Phi điệp 6 mắt Hòa Bình,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/pd-6-mat-hoa-binh/phi-diep-6-mat-hoa-binh-hinh-hoa-nho.jpg,600000,"Bán kei phi điệp 6 mắt hòa bình, bảo hành mặt hoa. Cây kei có độ dài từ 5cm – 10cm, đang mùa phát triển nên sẽ còn dài nữa.",Trang Tr?ng,
98,Vũ nữ socola,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/vanda-dendro/vu-nu-socola/vu-nu-socola-4-1.jpg,140000,"Có rất nhiều giống vũ nữ, đa phần chúng dễ chăm sóc nhưng phổ biến và dễ trồng nhất là vũ nữ socola. Hoa thơm ngọt và có màu nâu như socola.",Sinh Nh?t,
99,Vũ nữ peru hoa tím,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/vu-nu/peru/vu-nu-peru-1-1.jpg,140000,"Dòng vũ nữ hoa tím rất đẹp, hoa phân nhánh, vòi rất dài, dễ ra hoa mùa xuân là các đặc điểm thú vị của vũ nữ peru.  Thuộc dòng cây phát triển đa thân, nên phát triển nhanh",Trang Tr?ng,
100,Giáng hương hồng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/giang-huong/giang-huong-hong/giang-huong-hong-hinh-nho.jpg,140000,"Đây là cây của thái rất dễ chăm sóc, Giáng hương hồng gọi theo tên vườn Thái giới thiệu, Cây rất dễ chăm sóc, không cần độ ẩm cao, bộ dễ phát triển nhanh, năm hoa 2,3 lần",Gia ?�Enh,
101,Trầm 5 cánh trắng lai phi điệp 5 cánh trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/tram-5ct-lai-pd-5ct/anh-nho-hinh-hoa-tram-5ct-pd-5ct.jpg,300000,"Mời các bác săn hoa xổ , cặp lai rất hay này nhé, tỷ lệ bắt được bông mới, bông đẹp cực cao. Nhìn cây cũng rất đẹp rồi, giá thì rẻ như trầm thường",Thanh Cao,
102,Đai châu thái hàng tết,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/cay-doi/cay-dep-chau2-cay.jpg,180000,"Đai châu thái hàng tết - Mỗi chậu có 2 cây, rễ đang phát triển rất nhiều cây đang nụ, có các màu cam, trắng, đốm, bó sữa. Không chọn màu hoa. Cây đẹp như hình",Khai Tr??ng,
103,Cát đỏ vàng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/cat-do-vang-1-1.jpg,250000,"Mặt hoa la sự pha trộn tuyệt với của màu đỏ và vàng, có nhiều thân con, thân, lá rất đẹp, bám chặt gỗ để trong chậu",Trang Tr?ng,
104,Kiếm vàng hàng Đài,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/kiem/hinh-hoa-kiem-vang-dai-anh-nho.jpg,190000,"Lan kiếm vàng hoa trơn không những hoa mà lá cũng rất đẹp, cây có bản lá to và dày hơn các loại kiếm khác. Màu hoa vàng trơn cũng một trong các màu đẹp được yêu thích nhất.",Gia ?�Enh,
105,Phi điệp trắng lai trầm trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lai/tram-trang-phi-diep-trang/anh-nho-tram-lai-phi-diep-trang-cay-dep.jpg,600000,"Nổi bật nhất trong dòng lai trầm trắng và phi điệp trắng là cây bạch long, dòng lai này đều có đặc điểm bông to, thơm, trên 90% là bông trắng",Sinh Nh?t,
106,Trầm hồng long,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/hong-loang-1-1.jpg,450000,"Thân to mập ú, một chậu 3 thân, hoa thơm, màu đẹp.Dài trên 30cm, Có hình mặt hoa năm trước",Gia ?�Enh,
107,Đôi đai châu trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/trang/dai-chau-trang-4-1.jpg,300000,"Châu đai châu hoa trắng đẹp, lá khít, đang nụ. Cây đang bám chậu nhựa, rất phù hợp để ghép trụ gỗ chơi xuân. ",Gia ?�Enh,
108,Giả hạc momotora,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/momotora/gia-hac-momotora-3-1.jpg,350000,"Momotara loại giả hạc mới này là kết quả của cặp lai trầm đỏ và vôi. Cây có mặt bông khá ổn định và có nhiều đặc điểm như mong đợi, cây khỏe, thân to, sai hoa, đặc biệt lưỡi hoa mang dáng dấp của vôi nhưng có màu của trầm đỏ.",Ti?c C??i,
109,Quà tặng noel cho bạn gái,https://hoalanhuyanh.com/userfiles/image/ho-diep/noel/3-1.jpg,430000,"Hoa lan hồ điệp, món quà tặng noel ý nghĩa và bất ngờ dành cho bạn gái. Cây khỏe mạnh đã ra hoa và nụ có thể chơi qua tết dương lịch",Gia ?�Enh,
110,Trang trí showroom nội thất với Lan Hồ Điệp,https://hoalanhuyanh.com/userfiles/image/ho-diep/showroomnoithat/2-2.jpg,450000,"Lan hồ điệp phù hợp để chăm sóc trong phòng, do chúng không cần nhiều ánh sáng tự nhiên. Hoa lan hồ điệp cũng rất lâu rụng từ 6- 8 tuần, như vậy bạn chỉ phải trả 10.000 đ/ngày chi phí hoa trang trí.",Khai Tr??ng,
111,Hoàng thảo bướm trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/loai-khac/hoang-thao-buom-trang-1-1.jpg,190000,"Hoa trắng cực đẹp, rất dễ chăm sóc. Mùa hoa tháng 3 âm. Tên quốc tế Formosum, hàng nhập khẩu thái lan",Gia ?�Enh,
112,Den xuân cánh sen,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/vanda-dendro/den-canh-sen/den-xuan-canh-sen-2-1.jpg,260000,"Nhật không phải cường quốc hoa lan nhưng thực sự là ra cây nào chất cây đó. Den xuân cánh sen, đây là cây lai đùi  gà đông dương với đùi gà nhật. Màu sắc quá đẹp, hương rất nồng",Gia ?�Enh,
113,Hồng ngọc,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/lan-hong-ngoc-1.jpg,200000,"Giả hạc hồng ngọc (Den.adastra) hàng nhập đài loan cây kei, chuẩn mặt hoa. Cây khỏe đã trồng tại vườn 1 năm, đang phát triển tốt, đang có mầm non",Sinh Nh?t,
114,Myaki cam - hoa khế cam,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/hoa-khe/hoa-khe-cam-hinh-hoa-1-1.jpg,250000,"Myaki cam - hoa khế cam hàng thái, bông cực rực rỡ, hoa đầu hè, đã thuần tại vườn 3 năm. Thoải mái khỏe",T?ng M?,
115,Đen xuân cánh trắng họng xanh,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/vanda-dendro/hong-xanh/den-xuan-canh-trang-hong-xanh-1-1.jpg,300000,"Đây là một biến thể của đùi gà nên vẫn thừa hưởng những ưu điểm như cây khỏe, thân to đẹp. Nhưng lại sở hữu mặt bông vô cùng xuất sắc cánh trắng họng xanh. Hoa mùa xuân, rất sai hoa dù thân cây không quá dài. ",T?ng M?,
116,Phi điệp trắng thực hà,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/phi-diep-trang-thuc-ha-1-1.jpg,250000,Bán kei phi điệp trắng thực hà. Bảo hành mặt hoa. Các bác lưu ý hàng này bán theo cm nhé,20/11,
117,Trầm 6 mắt bông chuẩn,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/tram-6-mat/tram-6-mat-bong-dep-1-1.jpg,1300000,Mỗi cánh 2 bên có thêm 2 mắt kết hợp với 2 mắt lưỡi tạo thành bông trầm 6 mắt. Sở hữu vẻ đẹp và không thể lẫn lộn với bất cứ bông trầm nào khác. Và cũng rất thơm ,Gia ?�Enh,
118,Siêu trầm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/sieu-tram/anh-nho-mat-hoa-sieu-tram-1.jpg,350000,"Hàng đài loan, hứa hẹn cho mặt hoa đẹp, cây to, thân rất mập. Đang được trồng tại vườn khỏe mạnh. Loại siêu trầm này có bông to như phi điệp, rất thơm và mang sắc màu của trầm",T�Enh Y�Eu,
119,Đai châu trắng ghép gỗ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/trang/dai-chau-trang-ghep-go-4-1.jpg,400000,"Đai châu trắng hàng thái ghép gỗ, bộ lá đẹp, rễ bám chặt vào giá thể gỗ. Đa phần là lá xếp tất cả đều đang nhú nụ. Loại đai châu trắng hàng rừng thì hiếm, nhưng hàng thái thì có rất nhiều nhé, và giá qua từng năm lại rẻ hơn. Nên các bác không cần lo bị sai màu hoa đâu ah. ",Gia ?�Enh,
120,Tiểu bạch long ghép gỗ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/tieu-bach-long/anh-nho-tieu-bach-long.jpg,200000,"Tiểu bạch long có thân và hoa như đại bạch long, hoa trắng, rất thơm hoa cuối mùa xuân. Nhưng dễ hoa hơn đại bạch long và thân cũng nhỏ hơn.",Gia ?�Enh,
121,Giả hạc phi điệp tím lai trầm tím,https://hoalanhuyanh.com/userfiles/image/gio-lan/lai/tram-tim-lai/anh-nho-phi-diep-lai-tram.jpg,400000,"Dòng lai phi điệp tím và trầm tím có quá nhiều ưu điểm như thân dài, hoa to, rất thơm, phát triển nhanh. Giò ghép gỗ hiện tại đang rất đẹp, chưa thắt ngọn",T�Enh B?n,
122,Phi điệp 6 mắt,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/phi-diep-6-mat-3-1.jpg,100000,"Mặt bông cực đẹp có 6 mắt là loại đột biến của dòng phi điệp, được rất nhiều người chơi phi điệp yêu thích",T�Enh B?n,
123,"Bán 2 Chậu phi điệp tím, phía bắc",https://hoalanhuyanh.com/userfiles/image/gio-lan/phi-diep-tim/2-chau-phi-diep-tim/anh-nho-chau-phi-diep-5-ngon.jpg,1100000,"Em bán 2 giò chậu phi điệp tím nguồn gốc miền bắc, đang phát triển tốt tại vườn, trồng chậu với giá thể vỏ thông, dớn cọng. hoa xổ",Sinh Nh?t,
124,Kei phi điệp trường sơn,https://hoalanhuyanh.com/userfiles/image/gio-lan/phi-diep-tim/kei-truong-son/anh-nho-kei-phi-diep-truong-son.jpg,50000,"Kei phi điệp hàng rừng trường sơn có nhiều mặt hoa đẹp, đã xổ hoa ở vườn các năm trước. Kei hiện tại em đã ươm khoảng  3 tháng, đã ra rễ.",T�Enh B?n,
125,Hài hằng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-hai/hai-hang-1-1.jpg,120000,"Hài hằng một loại lan đặc hữu của việt nam, phù hợp với khí hậu miền bắc, mùa hoa tháng 3-4. Bản lá trung bình 3,5 – 4 cm. Cây khỏe",20/11,
126,Căn diệp xanh hàng thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/can-diep/hinh-hoa-can-diep-xanh-1-1.jpg,160000,"Bộ rễ rất dầy bám chặt bảng gỗ, căn diệp xanh một trong các loại thú vị nhất trong họ nhà Lan",T�Enh B?n,
127,Đại ý thảo hàng thuần,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/dai-y-thao/anh-nho-lan-dai-y-thao.jpg,200000,"Đây là loại lan giống hạc vỹ nhưng cũng hoàn toàn khác và rất dễ bị nhầm. Đại ý thảo cây phát triển rất nhanh, và dài. ",T�Enh Y�Eu,
128,Lan tóc tiên,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/hoa-lan-toc-tien-1-1.jpg,200000,"Hoa tháng 3-4 âm , ngọn dài khoảng 40-50cm, bộ rễ đẹp, ghép gỗ. Cánh hoa trắng, phần lưỡi màu tím và vàng, rất đẹp",T�Enh Y�Eu,
129,Giả hạc hoa hồng đỏ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/hoa-hong-do/hinh-hoa-hoa-hong-do-nam-dau-hinh-nho.jpg,70000,Có màu hoa đỏ đậm và thắm như hoa hồng và là cây lai giả hạc với hạc vỹ đài nên được gọi là giả hạc hoa hồng. Tên đài : Den. Adastra 'Red Rose . ,Trong S�Eng,
130,Đại ý thảo trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/doc-dao/dai-y-thao-trang/dai-y-thao-hoa-trang-1-1.jpg,1000000,"Đại ý thảo rừng hoa đột biến trắng, cây rất đẹp. Bảo hành mặt hoa, giao hàng toàn quốc. Bông trắng tinh độc và hiếm",Ti?c C??i,
131,Thanh đạm indo,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/thanh-dam-1-1.jpg,240000,"Thanh đạm indo, dễ trồng, nhiều hoa và đặc biệt hoa rất thơm, cây ra hoa tháng 7 – 12, một cây có thể có nhiều vòi hoa",T�Enh B?n,
132,Giả hạc lục bình,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/2017/luc-binh/gia-hac-luc-binh-1-1.jpg,850000,"Hoa có màu tím như lục bình nên còn được biết đến với tên giả hạc lục bình, hoa rất thơm. Có giá trị cao, là loại giả hạc độc đáo",V?n Ph�Eng,
133,Giả hạc thiên sứ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/gia-hac/thien-su/gia-hac-thien-su-3-1.jpg,290000,"Hiếm có loại giả hạc công nghiệp nào được  nhiều người săn lùng và tạo ra cơn sốt như giả hạc Thiên Sứ. Rất may đây lại là loại lan của Đài Loan nên tốc độ nhân giống nhanh, sớm đáp ứng được nhu cầu người chơi lan",Gia ?�Enh,
134,Trầm hybis hàng đài loan,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/tram/tram-hybis-dai-1-1.jpg,280000,"Trầm hybis đài loan cây đang phát triển rất khỏe, thân mập, đẹp như hình. Hoa sổ xố nhưng form hoa gần như giống nhau và toàn bông đẹpTrầm",?am M�E Huy?n B�E,
135,Giả hạc trắng mũi hồng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/gia-hac/5-canh-trang-mui-hong-3-1.jpg,550000,"Cánh trắng mũi hồng cực đẹp, thân rất mập.Hàng thái cây khỏe giá rẻ, mặt hoa đẹp. Hàng sưu tầm không thể bỏ qua",Sinh Nh?t,
136,Giả hạc tím thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/2017/phi-diep-thai-1-1.jpg,230000,"Giò giả hạc tím rừng của thái (không phải hàng công nghiệp), ghép gỗ năm 2. Giá rất hấp dẫn, cây khỏe đẹp. Rễ đã bám đầy bảng gỗ, bảng có 2 hoặc 3 thân.",H?i Ngh?,
137,Giả hạc hồng nhung,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/2017/hong-nhung/gia-hac-hong-nhung-1-1.jpg,360000,"Đây là loại lan mới của đài loan, có nguồn gốc từ giả hạc hoa hồng nhưng bông đậm hơn, nên ngoài tên giả hạc hồng nhung còn có tên khác là giả hạc hoa hồng bông đậm. ĐANG NỤ",Sinh Nh?t,
138,Kiếm vàng hoa sọc,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/kiem/kiem-hoa-soc-3-1.jpg,500000,"Bác nào thích kiếm không? Loại này cực khỏe, phát triển nhanh, ra nhiều hoa thơm dịu. Chậu nhiều thân.",Sinh Nh?t,
139,Đai châu trắng mẹ con,https://hoalanhuyanh.com/userfiles/image/gio-lan/dai-chau/trang-me-con/anh-nho-dai-chau-trang.jpg,800000,"Đai châu loại lan không thể thiếu mỗi khi xuân về, cây có hương thơm nồng và màu sắc đa dạng. Trong đó đai châu trắng rất được yêu thích bởi sự mới mẻ tinh khôi",Sinh Nh?t,
140,"Trầm trắng, hàng đài loan",https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/tram-trang-dai/tram-trang-hang-dai-1-1.jpg,280000,"Trầm trắng, hàng đài loan. Thân rất dài, hoa trắng tinh có mùi thơm của trầm. Cây em bán năm 2 dài khoảng 10-15cm.",Sinh Nh?t,
141,Chu đình vàng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/chu-dinh-vang-1-1.jpg,2400000,"Bán chu đỉnh vàng, cây trồng tại vườn nên rất khỏe mạnh, lá đẹp . Hoa mùa xuân và mùa hè",Gia ?�Enh,
142,Hoàng thảo vôi trắng,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/hoang-thao/voi/hoang-thao-voi-trang-1-1.jpg,230000,Bông hoa chứa một màu trắng tinh khiết và Một mạng lưới mạch máu hồng mờ trên nền vàng cảm ứng . Cùng với hương thơm nồng,Chia Bu?n,
143,Hawai tím hàng cốc,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/hawai-tim-1-1.png,250000,"Hawai tím bảng dớn cây đẹp, đang phát triển tốt bắt đầu vào năm 3. Mỗi bảng có 3,4 đầu, dài từ 10-20cm. Cây rất khỏe như hình bên dưới nhé. ",T?ng M?,
144,Địa lan thanh ngọc,https://hoalanhuyanh.com/userfiles/image/hoa-tet/dia-lan-kiem/lan-thanh-ngoc-1-1.jpg,200000,"Địa lan thanh ngọc hoa xuân, hoa rất bền nên thường được chơi vào dịp tết. Bông màu xanh, thơm sở hữu vẻ đẹp thanh tao. Vòi hoa dài khoảng 30-40cm các cây khỏe cho nhiều bông trên một vòi hơn từ 3-9 bông. Em giao hàng  từ 2 thân.",Ti?c C??i,
145,Cát mặt hoa xinh M369,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/cat-thien-nga/cat-thom/cat-m369-1-2.jpg,200000,"Bông cát mini màu hồng đỏ, cánh hoa có 4 mắt trắng đối xứng rất đẹp. Cũng như các loại cát mini khác bông M369 này có hương thơm nhẹ.",Thanh Cao,
146,Trầm w3 cực thơm,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/tram/w3/tram-w3-cuc-thom-1-1.jpg,450000,"Cây mới chuẩn mặt hoa, và cực thơm của đài loan. Giống cây này có thân mập, phát triển theo phương thẳng đứng, dễ dàng đạt chiều dài trên 50cm – 1m",T�Enh Y�Eu,
147,Giả hạc lá biên,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/phi-diep/2017/gia-hac/gia-hac-la-bien-1-1.jpg,180000,Dòng này hàng thường không có nhiều do để chuẩn cây nên được nhân giống kei (không phải hàng mô). Cây năm 2,Thanh Cao,
148,Đai châu cây đơn nhỏ các màu,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/ngoc-diem/cay-nho-cac-mau/dai-chau-cay-nho-2-1.jpg,55000,"Đón tết với đai châu các màu, cây đẹp, đây là cỡ cây đơn nhỏ hàng thái có các màu, đỏ, đốm, hồng cánh sen, bò sữa. Khả năng hoa tết là rất cao. Tất cả đều trồng trong chậu nhựa nhỏ có bộ rễ đẹp.  ",Sinh Nh?t,
149,Chậu nestor nụ,https://hoalanhuyanh.com/userfiles/image/gio-lan/chau-nestor/nestor-nu-1-1.jpg,280000,"CÂy ghép gỗ để trong chậu nhựa, đang có nụ. Không biết mặt hoa, chỉ chắc chắn là hoa thơm. Đang lên cây non",Thanh Cao,
150,Phi điệp tây bắc,https://hoalanhuyanh.com/userfiles/image/gio-lan/phi-diep-tim/phi-diep-tay-bac-1-1.jpg,2200000,"Giò ghép dớn trồng chậu nhựa, đã vào vườn hơn 1 năm cây đang mùa phát triển sung sức. Hàng phi điệp tím tây bắc",Gia ?�Enh,
151,Tóc tiên kẹo dừa,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/toc-tien-keo-dua-1.jpg,220000,"Mỗi năm chỉ ra hoa 1 lần, nhưng cây rất dễ trồng, phát triển nhanh. Có thể để làm cây cảnh",Gia ?�Enh,
152,Căn diệp vàng hàng thái,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-dep-khac/can-diep/can-diep-vang-thai-3-1.jpg,150000,"CĂn diệp loại hoa thú vị nhất trong các giống lan. Cây hàng thái đã bám chắc giá thể, sức sống mãnh liệt",Gia ?�Enh,
153,Siêu trầm đỏ,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/tram/2017/sieu-tram-do/hoa-sieu-tram-do-1.jpg,260000,"Nổi tiếng với màu hoa tím đỏ rất đậm, và hương thơm nồng.",Chia Bu?n,
154,Hài niveum,https://hoalanhuyanh.com/userfiles/image/shop-hoa-lan/lan-hai/hai-nevium-2-1.jpg,250000,"Em bán Bán hài niveum đã được trồng thuần tại vườn trong thời gian dài, các bác lưu ý có loại hài em bán theo cây, có loại bán theo chậu. Khi chuyển hàng em sẽ bỏ chậu , chỉ gửi mỗi cây. ",Chia Bu?n,
